"","states","Rscore","Ranking"
"15","MA",8,1
"41","NH",13,2
"45","DE",15,3
"36","NM",16,4
"49","DC",17,5
"44","RI",20,6
"24","AL",29,7.5
"27","OR",29,7.5
"29","CT",34,9
"10","MI",40,11.5
"17","IN",40,11.5
"35","KS",40,11.5
"43","MT",40,11.5
"19","MD",41,14.5
"34","MS",41,14.5
"31","IA",42,16
"21","CO",43,17
"18","MO",44,18
"1","CA",46,19
"30","UT",47,20
"5","PA",48,22
"12","VA",48,22
"13","WA",48,22
"14","AZ",49,24
"11","NJ",52,26
"23","SC",52,26
"38","WV",52,26
"9","NC",54,29
"26","KY",54,29
"39","ID",54,29
"28","OK",57,31.5
"40","HI",57,31.5
"4","NY",58,33.5
"20","WI",58,33.5
"8","GA",60,35.5
"37","NE",60,35.5
"6","IL",61,38
"22","MN",61,38
"32","NV",61,38
"3","FL",67,40.5
"16","TN",67,40.5
"2","TX",68,42.5
"7","OH",68,42.5
"25","LA",72,44.5
"33","AR",72,44.5
"50","VT",79,46
"47","ND",86,47
"42","ME",87,48
"48","AK",91,49
"51","WY",92,50
"46","SD",93,51
